ALL Power Off			          2    0    0    4    86   92  
ALL Power On			          2    0    0    4    85   91  
All Zones Query Status	          2    0    0    5    0    7   
DND Off Zone 1			          2    0    1    4    90   97  
DND Off Zone 2			          2    0    2    4    90   98  
DND Off Zone 3			          2    0    3    4    90   99  
DND Off Zone 4			          2    0    4    4    90   100 
DND Off Zone 5			          2    0    5    4    90   101 
DND Off Zone 6			          2    0    6    4    90   102 
DND Off Zone 7			          2    0    7    4    90   103 
DND Off Zone 8			          2    0    8    4    90   104 
DND Off Zone 9			          2    0    9    4    90   105 
DND Off Zone 10			          2    0    10   4    90   106 
DND Off Zone 11			          2    0    11   4    90   107 
DND Off Zone 12			          2    0    12   4    90   108 
DND On Zone 1			          2    0    1    4    89   96  
DND On Zone 2			          2    0    2    4    89   97  
DND On Zone 3			          2    0    3    4    89   98  
DND On Zone 4			          2    0    4    4    89   99  
DND On Zone 5			          2    0    5    4    89   100 
DND On Zone 6			          2    0    6    4    89   101 
DND On Zone 7			          2    0    7    4    89   102 
DND On Zone 8			          2    0    8    4    89   103 
DND On Zone 9			          2    0    9    4    89   104 
DND On Zone 10			          2    0    10   4    89   105 
DND On Zone 11			          2    0    11   4    89   106 
DND On Zone 12			          2    0    12   4    89   107 
Input 1 Zone 1			          2    0    1    4    16   23  
Input 1 Zone 2			          2    0    2    4    16   24  
Input 1 Zone 3			          2    0    3    4    16   25  
Input 1 Zone 4			          2    0    4    4    16   26  
Input 1 Zone 5			          2    0    5    4    16   27  
Input 1 Zone 6			          2    0    6    4    16   28  
Input 1 Zone 7			          2    0    7    4    16   29  
Input 1 Zone 8			          2    0    8    4    16   30  
Input 1 Zone 9			          2    0    9    4    16   31  
Input 1 Zone 10			          2    0    10   4    16   32  
Input 1 Zone 11			          2    0    11   4    16   33  
Input 1 Zone 12			          2    0    12   4    16   34  
Input 2 Zone 1			          2    0    1    4    17   24  
Input 2 Zone 2			          2    0    2    4    17   25  
Input 2 Zone 3			          2    0    3    4    17   26  
Input 2 Zone 4			          2    0    4    4    17   27  
Input 2 Zone 5			          2    0    5    4    17   28  
Input 2 Zone 6			          2    0    6    4    17   29  
Input 2 Zone 7			          2    0    7    4    17   30  
Input 2 Zone 8			          2    0    8    4    17   31  
Input 2 Zone 9			          2    0    9    4    17   32  
Input 2 Zone 10			          2    0    10   4    17   33  
Input 2 Zone 11			          2    0    11   4    17   34  
Input 2 Zone 12			          2    0    12   4    17   35  
Input 3 Zone 1			          2    0    1    4    18   25  
Input 3 Zone 2			          2    0    2    4    18   26  
Input 3 Zone 3			          2    0    3    4    18   27  
Input 3 Zone 4			          2    0    4    4    18   28  
Input 3 Zone 5			          2    0    5    4    18   29  
Input 3 Zone 6			          2    0    6    4    18   30  
Input 3 Zone 7			          2    0    7    4    18   31  
Input 3 Zone 8			          2    0    8    4    18   32  
Input 3 Zone 9			          2    0    9    4    18   33  
Input 3 Zone 10			          2    0    10   4    18   34  
Input 3 Zone 11			          2    0    11   4    18   35  
Input 3 Zone 12			          2    0    12   4    18   36  
Input 4 Zone 1			          2    0    1    4    19   26  
Input 4 Zone 2			          2    0    2    4    19   27  
Input 4 Zone 3			          2    0    3    4    19   28  
Input 4 Zone 4			          2    0    4    4    19   29  
Input 4 Zone 5			          2    0    5    4    19   30  
Input 4 Zone 6			          2    0    6    4    19   31  
Input 4 Zone 7			          2    0    7    4    19   32  
Input 4 Zone 8			          2    0    8    4    19   33  
Input 4 Zone 9			          2    0    9    4    19   34  
Input 4 Zone 10			          2    0    10   4    19   35  
Input 4 Zone 11			          2    0    11   4    19   36  
Input 4 Zone 12			          2    0    12   4    19   37  
Input 5 Zone 1			          2    0    1    4    20   27  
Input 5 Zone 2			          2    0    2    4    20   28  
Input 5 Zone 3			          2    0    3    4    20   29  
Input 5 Zone 4			          2    0    4    4    20   30  
Input 5 Zone 5			          2    0    5    4    20   31  
Input 5 Zone 6			          2    0    6    4    20   32  
Input 5 Zone 7			          2    0    7    4    20   33  
Input 5 Zone 8			          2    0    8    4    20   34  
Input 5 Zone 9			          2    0    9    4    20   35  
Input 5 Zone 10			          2    0    10   4    20   36  
Input 5 Zone 11			          2    0    11   4    20   37  
Input 5 Zone 12			          2    0    12   4    20   38  
Input 6 Zone 1			          2    0    1    4    21   28  
Input 6 Zone 2			          2    0    2    4    21   29  
Input 6 Zone 3			          2    0    3    4    21   30  
Input 6 Zone 4			          2    0    4    4    21   31  
Input 6 Zone 5			          2    0    5    4    21   32  
Input 6 Zone 6			          2    0    6    4    21   33  
Input 6 Zone 7			          2    0    7    4    21   34  
Input 6 Zone 8			          2    0    8    4    21   35  
Input 6 Zone 9			          2    0    9    4    21   36  
Input 6 Zone 10			          2    0    10   4    21   37  
Input 6 Zone 11			          2    0    11   4    21   38  
Input 6 Zone 12			          2    0    12   4    21   39  
Input 7 Zone 1			          2    0    1    4    22   29  
Input 7 Zone 2			          2    0    2    4    22   30  
Input 7 Zone 3			          2    0    3    4    22   31  
Input 7 Zone 4			          2    0    4    4    22   32  
Input 7 Zone 5			          2    0    5    4    22   33  
