ALL Power Off			          \x02\x00\x00\x04\x56\x5C
ALL Power On			          \x02\x00\x00\x04\x55\x5B
All Zones Query Status	          \x02\x00\x00\x05\x00\x07
MP3 Play Function - FB	          \x02\x00\x00\x04\x0C\x12
MP3 Play Function - FF	          \x02\x00\x00\x04\x0A\x10
MP3 Play Function - PP	          \x02\x00\x00\x04\x0B\x11
MP3 Play Function - Stop          \x02\x00\x00\x04\x0D\x13
MP3 Repeat Loop - OFF	          \x02\x00\x00\x01\x00\x03
MP3 Repeat Loop - ON	          \x02\x00\x00\x01\xFF\x102
Source 1 Party Mode		          \x02\x00\x01\x04\x36\x3D
Source 2 Party Mode		          \x02\x00\x02\x04\x37\x3F
Source 3 Party Mode		          \x02\x00\x03\x04\x38\x41
Source 4 Party Mode		          \x02\x00\x04\x04\x39\x43
Source 5 Party Mode		          \x02\x00\x05\x04\x3A\x45
Source 6 Party Mode		          \x02\x00\x06\x04\x3B\x47
Source 7 Party Mode		          \x02\x00\x07\x04\x3C\x49
Source 8 Party Mode		          \x02\x00\x08\x04\x3D\x4B
Source 9 Party Mode		          \x02\x00\x09\x04\x3E\x4D
Source 10 Party Mode	          \x02\x00\x0A\x04\x3F\x4F
Source 11 Party Mode	          \x02\x00\x0B\x04\x40\x51
Source 12 Party Mode	          \x02\x00\x0C\x04\x41\x53
Source 13 Party Mode	          \x02\x00\x0D\x04\x69\x7C
Source 14 Party Mode	          \x02\x00\x0E\x04\x6A\x7E
Source 15 Party Mode	          \x02\x00\x0F\x04\x6B\x80
Source 16 Party Mode	          \x02\x00\x10\x04\x6C\x82
Source 17 Party Mode	          \x02\x00\x10\x04\x6D\x83
Source 18 Party Mode	          \x02\x00\x10\x04\x6E\x84
Zone 1 DND Off			          \x02\x00\x01\x04\x5A\x61
Zone 1 DND On			          \x02\x00\x01\x04\x59\x60
Zone 1 Input 1			          \x02\x00\x01\x04\x10\x17
Zone 1 Input 2			          \x02\x00\x01\x04\x11\x18
Zone 1 Input 3			          \x02\x00\x01\x04\x12\x19
Zone 1 Input 4			          \x02\x00\x01\x04\x13\x1A
Zone 1 Input 5			          \x02\x00\x01\x04\x14\x1B
Zone 1 Input 6			          \x02\x00\x01\x04\x15\x1C
Zone 1 Input 7			          \x02\x00\x01\x04\x16\x1D
Zone 1 Input 8			          \x02\x00\x01\x04\x17\x1E
Zone 1 Input 9			          \x02\x00\x01\x04\x18\x1F
Zone 1 Input 10			          \x02\x00\x01\x04\x19\x20
Zone 1 Input 11			          \x02\x00\x01\x04\x1A\x21
Zone 1 Input 12			          \x02\x00\x01\x04\x1B\x22
Zone 1 Input 13			          \x02\x00\x01\x04\x63\x6A
Zone 1 Input 14			          \x02\x00\x01\x04\x64\x6B
Zone 1 Input 15			          \x02\x00\x01\x04\x65\x6C
Zone 1 Input 16			          \x02\x00\x01\x04\x66\x6D
Zone 1 Input 17			          \x02\x00\x01\x04\x67\x6E
Zone 1 Input 18			          \x02\x00\x01\x04\x68\x6F
Zone 1 Mute Off			          \x02\x00\x01\x04\x1F\x26
Zone 1 Mute On			          \x02\x00\x01\x04\x1E\x25
Zone 1 Power Off		          \x02\x00\x01\x04\x58\x5F
Zone 1 Power On			          \x02\x00\x01\x04\x57\x5E
Zone 1 - Volume Level 0	          \x02\x01\x01\x15\xC4\xDD
Zone 1 - Volume Level -1          \x02\x01\x01\x15\xC5\xDE
Zone 1 - Volume Level -2          \x02\x01\x01\x15\xC6\xDF
Zone 1 - Volume Level -3          \x02\x01\x01\x15\xC7\xE0
Zone 1 - Volume Level -4          \x02\x01\x01\x15\xC8\xE1
Zone 1 - Volume Level -5          \x02\x01\x01\x15\xC9\xE2
Zone 1 - Volume Level -6          \x02\x01\x01\x15\xCA\xE3
Zone 1 - Volume Level -7          \x02\x01\x01\x15\xCB\xE4
Zone 1 - Volume Level -8          \x02\x01\x01\x15\xCC\xE5
Zone 1 - Volume Level -9          \x02\x01\x01\x15\xCD\xE6
Zone 1 - Volume Level -10         \x02\x01\x01\x15\xCE\xE7
Zone 1 - Volume Level -11         \x02\x01\x01\x15\xCF\xE8
Zone 1 - Volume Level -12         \x02\x01\x01\x15\xD0\xE9
Zone 1 - Volume Level -13         \x02\x01\x01\x15\xD1\xEA
Zone 1 - Volume Level -14         \x02\x01\x01\x15\xD2\xEB
Zone 1 - Volume Level -15         \x02\x01\x01\x15\xD3\xEC
Zone 1 - Volume Level -16         \x02\x01\x01\x15\xD4\xED
Zone 1 - Volume Level -17         \x02\x01\x01\x15\xD5\xEE
Zone 1 - Volume Level -18         \x02\x01\x01\x15\xD6\xEF
Zone 1 - Volume Level -19         \x02\x01\x01\x15\xD7\xF0
Zone 1 - Volume Level -20         \x02\x01\x01\x15\xD8\xF1
Zone 1 - Volume Level -21         \x02\x01\x01\x15\xD9\xF2
Zone 1 - Volume Level -22         \x02\x01\x01\x15\xDA\xF3
Zone 1 - Volume Level -23         \x02\x01\x01\x15\xDB\xF4
Zone 1 - Volume Level -24         \x02\x01\x01\x15\xDC\xF5
Zone 1 - Volume Level -25         \x02\x01\x01\x15\xDD\xF6
Zone 1 - Volume Level -26         \x02\x01\x01\x15\xDE\xF7
Zone 1 - Volume Level -27         \x02\x01\x01\x15\xDF\xF8
Zone 1 - Volume Level -28         \x02\x01\x01\x15\xE0\xF9
Zone 1 - Volume Level -29         \x02\x01\x01\x15\xE1\xFA
Zone 1 - Volume Level -30         \x02\x01\x01\x15\xE2\xFB
Zone 1 - Volume Level -31         \x02\x01\x01\x15\xE3\xFC
Zone 1 - Volume Level -32         \x02\x01\x01\x15\xE4\xFD
Zone 1 - Volume Level -33         \x02\x01\x01\x15\xE5\xFE
Zone 1 - Volume Level -34         \x02\x01\x01\x15\xE6\xFF
Zone 1 - Volume Level -35         \x02\x01\x01\x15\xE7\x00
Zone 1 - Volume Level -36         \x02\x01\x01\x15\xE8\x01
Zone 1 - Volume Level -37         \x02\x01\x01\x15\xE9\x02
Zone 1 - Volume Level -38         \x02\x01\x01\x15\xEA\x03
Zone 1 - Volume Level -39         \x02\x01\x01\x15\xEB\x04
Zone 1 - Volume Level -40         \x02\x01\x01\x15\xEC\x05
Zone 1 - Volume Level -41         \x02\x01\x01\x15\xED\x06
Zone 1 - Volume Level -42         \x02\x01\x01\x15\xEE\x07
Zone 1 - Volume Level -43         \x02\x01\x01\x15\xEF\x08
Zone 1 - Volume Level -44         \x02\x01\x01\x15\xF0\x09
Zone 1 - Volume Level -45         \x02\x01\x01\x15\xF1\x0A
Zone 1 - Volume Level -46         \x02\x01\x01\x15\xF2\x0B
Zone 1 - Volume Level -47         \x02\x01\x01\x15\xF3\x0C
Zone 1 - Volume Level -48         \x02\x01\x01\x15\xF4\x0D
Zone 1 - Volume Level -49         \x02\x01\x01\x15\xF5\x0E
Zone 1 - Volume Level -50         \x02\x01\x01\x15\xF6\x0F
Zone 1 - Volume Level -51         \x02\x01\x01\x15\xF7\x10
Zone 1 - Volume Level -52         \x02\x01\x01\x15\xF8\x11
Zone 1 - Volume Level -53         \x02\x01\x01\x15\xF9\x12
Zone 1 - Volume Level -54         \x02\x01\x01\x15\xFA\x13
Zone 1 - Volume Level -55         \x02\x01\x01\x15\xFB\x14
Zone 1 - Volume Level -56         \x02\x01\x01\x15\xFC\x15
Zone 1 - Volume Level -57         \x02\x01\x01\x15\xFD\x16
Zone 1 - Volume Level -58         \x02\x01\x01\x15\xFE\x17
Zone 1 - Volume Level -59         \x02\x01\x01\x15\xFF\x18
Zone 1 - Volume Level -60         \x02\x01\x01\x15\x00\x19
